diputado_bloque,diputado_apellido,diputado_nombres,diputado_distrito,periodo
BLOQUE EVOLUCIÓN RADICAL,YACOBITTI, Emiliano Benjamín,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023
BLOQUE COALICIÓN CÍVICA,BORREGO, Victoria,BUENOS AIRES,2021-2025
BLOQUE COALICIÓN CÍVICA,CAMPAGNOLI, Marcela,BUENOS AIRES,2021-2025
BLOQUE COALICIÓN CÍVICA,ESPIL, Santiago Eugenio,BUENOS AIRES,2019-2023
BLOQUE COALICIÓN CÍVICA,FERRARO, Maximiliano,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023
BLOQUE COALICIÓN CÍVICA,FRADE, Mónica Edith,BUENOS AIRES,2019-2023
BLOQUE COALICIÓN CÍVICA,LÓPEZ, Juan Manuel,BUENOS AIRES,2021-2025
BLOQUE COALICIÓN CÍVICA,MANZI, Rubén,CATAMARCA,2019-2023
BLOQUE COALICIÓN CÍVICA,MARTÍNEZ VILLADA, Leonor María,CÓRDOBA,2019-2023
BLOQUE COALICIÓN CÍVICA,OLIVETO LAGO, Paula,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE COALICIÓN CÍVICA,STILMAN, Mariana,BUENOS AIRES,2019-2023
BLOQUE COALICIÓN CÍVICA,ZUVIC, Mariana,CIUDAD AUTÓNOMA DE BUENOS AIRES,2019-2023
BLOQUE ENCUENTRO FEDERAL,AMAYA, Domingo Luis,TUCUMÁN,2019-2023
BLOQUE ENCUENTRO FEDERAL,GARCÍA de LUCA, Sebastián,BUENOS AIRES,2019-2023
BLOQUE ENCUENTRO FEDERAL,MONZÓ, Emilio,BUENOS AIRES,2021-2025
BLOQUE ENCUENTRO FEDERAL,STOLBIZER, Margarita ,BUENOS AIRES,2021-2025
BLOQUE CÓRDOBA FEDERAL,DE LA SOTA, Natalia,CÓRDOBA,2021-2025
BLOQUE CÓRDOBA FEDERAL,GARCÍA ARESCA, Ignacio,CÓRDOBA,2021-2025
BLOQUE CÓRDOBA FEDERAL,GUTIÉRREZ, Carlos Mario,CÓRDOBA,2019-2023
BLOQUE IDENTIDAD BONAERENSE,CAMAÑO, Graciela,BUENOS AIRES,2019-2023
BLOQUE IDENTIDAD BONAERENSE,RANDAZZO, Florencio,BUENOS AIRES,2021-2025
BLOQUE IDENTIDAD BONAERENSE,RODRIGUEZ," Alejandro ""Topo""",BUENOS AIRES,2019-2023
BLOQUE PTS - FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,BREGMAN, Myriam,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE PTS - FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,DEL CAÑO, Nicolás,BUENOS AIRES,2021-2025
BLOQUE PTS - FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,VILCA, Alejandro ,JUJUY,2021-2025
BLOQUE  FRENTE DE LA CONCORDIA MISIONERO,FERNÁNDEZ, Carlos Alberto ,MISIONES,2021-2025
BLOQUE  FRENTE DE LA CONCORDIA MISIONERO,SARTORI, Diego Horacio,MISIONES,2019-2023
BLOQUE JUNTOS SOMOS RÍO NEGRO,DI GIACOMO, Luis,RÍO NEGRO,2019-2023
BLOQUE JUNTOS SOMOS RÍO NEGRO,DOMINGO, Agustín,RÍO NEGRO,2021-2025
BLOQUE LA LIBERTAD AVANZA,MILEI, Javier Gerardo,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE LA LIBERTAD AVANZA,VILLARRUEL, Victoria ,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE PRODUCCIÓN Y TRABAJO ,LACIAR, Susana Alicia,SAN JUAN,2021-2025
BLOQUE PRODUCCIÓN Y TRABAJO ,ORREGO, Humberto Marcelo,SAN JUAN,2019-2023
BLOQUE SER - SOMOS ENERGIA PARA RENOVAR,ÁLVAREZ, Felipe,LA RIOJA,2019-2023
BLOQUE SER - SOMOS ENERGIA PARA RENOVAR,VIDAL, Claudio Orlando,SANTA CRUZ,2021-2025
BLOQUE SOCIALISTA,ESTEVEZ, Enrique,SANTA FE,2019-2023
BLOQUE SOCIALISTA,FEIN, Mónica,SANTA FE,2021-2025
BLOQUE AHORA PATRIA,ZAPATA, Carlos Raúl ,SALTA,2021-2025
BLOQUE AVANZA LIBERTAD,ESPERT, José Luis,BUENOS AIRES,2021-2025
BLOQUE AVANZAR SAN LUIS,POGGI, Claudio Javier,SAN LUIS,2021-2025
BLOQUE BUENOS AIRES LIBRE,PIPARO, Carolina ,BUENOS AIRES,2021-2025
BLOQUE CREO,OMODEO, Paula,TUCUMÁN,2021-2025
BLOQUE MOVIMIENTO POPULAR NEUQUINO,FIGUEROA, Rolando,NEUQUÉN,2021-2025
BLOQUE PARTIDO OBRERO EN EL FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD     (PO-FIT-U),DEL PLA, Romina,BUENOS AIRES,2021-2025
BLOQUE REPUBLICANOS UNIDOS ,LOPEZ MURPHY, Ricardo Hipólito,CIUDAD AUTÓNOMA DE BUENOS AIRES,2021-2025
BLOQUE VALORES REPUBLICANOS,CASTETS, Laura Carolina,SANTA FE,2019-2023
